티커,시가,고가,저가,종가,거래량,거래대금,등락률,시장,시가총액,종목유형,종목명,기관합계_5일,외국인합계_5일,개인_5일,업종,스냅샷일자
005930,188200,173500,173500,173500,43047478,7373308000000,-7.81,KOSPI,1027057200000000,stock,삼성전자,-425921287000.0,-9430686927200.0,8771614659200.0,반도체와반도체장비,20260306
000660,924000,836000,836000,836000,7253500,6026159000000,-9.52,KOSPI,595819200000000,stock,SK하이닉스,-179695381000.0,-4323830853000.0,4350895625000.0,반도체와반도체장비,20260306
005380,553000,507000,507000,507000,1895020,948001000000,-8.32,KOSPI,103812200000000,stock,현대차,-449906121000.0,-644121294000.0,1084112441000.0,자동차,20260306
005935,128000,121500,121500,121500,4676147,553359000000,-5.08,KOSPI,99140900000000,stock,삼성전자우,48288489800.0,-143314630800.0,94164933200.0,반도체와반도체장비,20260306
373220,377500,359500,359500,359500,414049,147376000000,-4.77,KOSPI,84123000000000,stock,LG에너지솔루션,-92354310500.0,105188343500.0,67507214500.0,전기제품,20260306
012450,1481000,1434000,1434000,1434000,564230,809435000000,-3.17,KOSPI,73941900000000,stock,한화에어로스페이스,50326484000.0,87509582000.0,-130337355000.0,우주항공과국방,20260306
207940,1644000,1579000,1579000,1579000,56445,88200000000,-3.95,KOSPI,73093400000000,stock,삼성바이오로직스,-56958900000.0,69092784000.0,-15526346000.0,제약,20260306
402340,553000,509000,509000,509000,742286,369049000000,-7.96,KOSPI,67232300000000,stock,SK스퀘어,-126474665000.0,-19526280000.0,137903693000.0,복합기업,20260306
034020,98000,96200,96200,96200,7956765,755239000000,-1.84,KOSPI,61622000000000,stock,두산에너빌리티,-101291614300.0,-854140600.0,91963026200.0,기계,20260306
329180,554000,576000,576000,576000,362446,203990000000,3.97,KOSPI,60457700000000,stock,HD현대중공업,-77313055000.0,195560085000.0,-112917538000.0,조선,20260306
000270,167000,153400,153400,153400,1845864,281503000000,-8.14,KOSPI,59889400000000,stock,기아,19837627600.0,-324672128400.0,304986151000.0,자동차,20260306
105560,147400,142600,142600,142600,1439194,200955000000,-3.26,KOSPI,53168500000000,stock,KB금융,23496477900.0,-49944862200.0,25372077200.0,은행,20260306
068270,212500,204000,204000,204000,701348,140938000000,-4.0,KOSPI,47133800000000,stock,셀트리온,-67319779000.0,221862028500.0,-150924886900.0,제약,20260306
028260,283500,270500,270500,270500,423716,110948000000,-4.59,KOSPI,45978700000000,stock,삼성물산,-93968594000.0,46480279500.0,59245654000.0,복합기업,20260306
055550,91800,88500,88500,88500,1656521,145302000000,-3.59,KOSPI,42006900000000,stock,신한지주,-88831006000.0,97732144600.0,-9169227700.0,은행,20260306
032830,210000,200500,200500,200500,339266,66279000000,-4.52,KOSPI,40100000000000,stock,삼성생명,-82049622000.0,98287571500.0,-14716069000.0,생명보험,20260306
042660,126700,123700,123700,123700,1821747,225773000000,-2.37,KOSPI,37903300000000,stock,한화오션,-15908377800.0,16588215400.0,1349186200.0,조선,20260306
012330,444000,409000,409000,409000,421926,169677000000,-7.88,KOSPI,37109600000000,stock,현대모비스,-20529068000.0,-79276699000.0,95675364000.0,자동차부품,20260306
006800,67100,64200,64200,64200,4665729,286120000000,-4.32,KOSPI,36406900000000,stock,미래에셋증권,46195907100.0,-54069628000.0,6973573600.0,증권,20260306
035420,222500,218500,218500,218500,940445,200830000000,-1.8,KOSPI,34272300000000,stock,NAVER,-135004099000.0,-167184560000.0,299151698500.0,양방향미디어와서비스,20260306
010130,1752000,1596000,1596000,1596000,48025,76314000000,-8.9,KOSPI,33313300000000,stock,고려아연,-18105601000.0,8459784000.0,10413602000.0,비철금속,20260306
267260,968000,907000,907000,907000,199594,178976000000,-6.3,KOSPI,32694800000000,stock,HD현대일렉트릭,-3933396000.0,-76088973000.0,77032378000.0,전기장비,20260306
006400,410500,389000,389000,389000,754765,289833000000,-5.24,KOSPI,31347800000000,stock,삼성SDI,-49695030500.0,24710487500.0,27997908500.0,전기제품,20260306
272210,158900,162700,162700,162700,4891307,804195000000,2.39,KOSPI,30737200000000,stock,한화시스템,-2303610700.0,-9706476400.0,-20852332800.0,우주항공과국방,20260306
086790,110300,107900,107900,107900,1104013,116507000000,-2.18,KOSPI,30031400000000,stock,하나금융지주,-42320267000.0,48246996300.0,-8810953200.0,은행,20260306
042700,333500,305000,305000,305000,1519802,460888000000,-8.55,KOSPI,29070200000000,stock,한미반도체,396505260500.0,55660048000.0,-449298222500.0,반도체와반도체장비,20260306
015760,48800,44800,44800,44800,5198201,230737000000,-8.2,KOSPI,28760000000000,stock,한국전력,-387460631950.0,-186128093300.0,571086741200.0,전기유틸리티,20260306
009150,404500,382000,382000,382000,689296,256380000000,-5.56,KOSPI,28533000000000,stock,삼성전기,-128872735500.0,-5309260500.0,132772132000.0,전자장비와기기,20260306
009540,402000,400000,400000,400000,277969,109421000000,-0.5,KOSPI,28309200000000,stock,HD한국조선해양,-41170754000.0,73416275000.0,-30907923500.0,조선,20260306
005490,353500,336000,336000,336000,461459,152786000000,-4.95,KOSPI,27193500000000,stock,POSCO홀딩스,-65947494000.0,-38071454500.0,93561952000.0,철강,20260306
010140,27600,28550,28550,28550,9473897,267005000000,3.44,KOSPI,25124000000000,stock,삼성중공업,-14397467900.0,133828075550.0,-119653997400.0,조선,20260306
034730,358500,329000,329000,329000,196512,63743000000,-8.23,KOSPI,23853400000000,stock,SK,41321265500.0,22269319500.0,-61326665500.0,석유와가스,20260306
064350,233000,215000,215000,215000,1385726,299017000000,-7.73,KOSPI,23465600000000,stock,현대로템,-121865364000.0,190838252500.0,-62540522000.0,우주항공과국방,20260306
316140,33050,31550,31550,31550,2923078,90873000000,-4.54,KOSPI,23160100000000,stock,우리금융지주,-31116553300.0,55477848350.0,-18824679250.0,은행,20260306
035720,53600,50400,50400,50400,2045012,101755000000,-5.97,KOSPI,22307300000000,stock,카카오,-25450641600.0,-87769590300.0,112932032700.0,양방향미디어와서비스,20260306
298040,2478000,2389000,2389000,2389000,39856,93387000000,-3.59,KOSPI,22276300000000,stock,효성중공업,-57284986000.0,7846135000.0,49447953000.0,전기장비,20260306
000810,496500,474500,474500,474500,126683,59009000000,-4.43,KOSPI,21832300000000,stock,삼성화재,-21769721000.0,2458812500.0,19415328500.0,손해보험,20260306
051910,326500,300000,300000,300000,582828,172372000000,-8.12,KOSPI,21177700000000,stock,LG화학,-36689972000.0,79514099000.0,-41336643000.0,화학,20260306
267250,279000,263000,263000,263000,168670,44192000000,-5.73,KOSPI,20775200000000,stock,HD현대,0.0,0.0,0.0,조선,20260306
010120,704000,681000,681000,681000,130533,85839000000,-3.27,KOSPI,20430000000000,stock,LS ELECTRIC,8394654000.0,-78722138000.0,67945812000.0,전기장비,20260306
096770,124900,118200,118200,118200,1018640,123624000000,-5.36,KOSPI,19982000000000,stock,SK이노베이션,13683644600.0,-6584950200.0,150578714100.0,석유와가스,20260306
138040,114400,111500,111500,111500,299187,32946000000,-2.53,KOSPI,19537200000000,stock,메리츠금융지주,0.0,0.0,0.0,증권,20260306
011200,21150,20650,20650,20650,2524729,52521000000,-2.36,KOSPI,19477900000000,stock,HMM,-8128337950.0,-34314766100.0,53334476150.0,해운사,20260306
066570,118000,113400,113400,113400,1042765,115157000000,-3.9,KOSPI,18471300000000,stock,LG전자,-47417588800.0,-36099308200.0,88495165600.0,전자제품,20260306
024110,23650,22800,22800,22800,1717777,38509000000,-3.59,KOSPI,18181300000000,stock,기업은행,0.0,0.0,0.0,은행,20260306
033780,154700,153600,153600,153600,383462,58865000000,-0.71,KOSPI,18121200000000,stock,KT&G,-66300723600.0,52037741300.0,14582230900.0,담배,20260306
003670,215500,202500,202500,202500,348078,69630000000,-6.03,KOSPI,18011600000000,stock,포스코퓨처엠,-19544957800.0,24241942500.0,-4763947300.0,화학,20260306
079550,834000,796000,796000,796000,883961,728032000000,-4.56,KOSPI,17512000000000,stock,LIG넥스원,172125867000.0,-592658723000.0,413001477000.0,우주항공과국방,20260306
086280,243500,226500,226500,226500,277187,61922000000,-6.98,KOSPI,16987500000000,stock,현대글로비스,-28119536000.0,-27315365000.0,56834188000.0,항공화물운송과물류,20260306
047810,183300,174100,174100,174100,863156,150425000000,-5.02,KOSPI,16970400000000,stock,한국항공우주,-25209641100.0,58159456200.0,-25040412700.0,우주항공과국방,20260306
000720,156800,146400,146400,146400,1584142,227399000000,-6.63,KOSPI,16302500000000,stock,현대건설,-120851210800.0,102528588800.0,14825372400.0,건설,20260306
017670,76500,75800,75800,75800,996122,73791000000,-0.92,KOSPI,16281100000000,stock,SK텔레콤,-44043773700.0,78914273000.0,-35256482000.0,무선통신서비스,20260306
069500,83560,78230,78230,78230,30651519,2363857000000,-6.38,KOSPI,16275800000000,etf,KODEX 200,-374131717220.0,-2829963285.0,348645671660.0,기타,20260306
000150,1050000,980000,980000,980000,75396,72150000000,-6.67,KOSPI,15870000000000,stock,두산,-67934996000.0,114181393000.0,-44922084000.0,복합기업,20260306
030200,59000,59500,59500,59500,454726,26315000000,0.85,KOSPI,14995300000000,stock,KT,0.0,0.0,0.0,다각화된통신서비스,20260306
352820,353000,346000,346000,346000,236262,79597000000,-1.98,KOSPI,14894800000000,stock,하이브,-85500040000.0,83295219500.0,15402472000.0,방송과엔터테인먼트,20260306
360750,25040,24625,24625,24625,7720456,189192000000,-1.66,KOSPI,14670300000000,etf,TIGER 미국S&P500,99146731920.0,26421253365.0,-125808534425.0,기타,20260306
010950,129700,128700,128700,128700,2642428,346825000000,-0.77,KOSPI,14489400000000,stock,S-Oil,-146094939700.0,-271056103500.0,430119440600.0,석유와가스,20260306
003550,94000,89300,89300,89300,396793,35030000000,-5.0,KOSPI,13772000000000,stock,LG,0.0,0.0,0.0,복합기업,20260306
047050,73300,76600,76600,76600,5457416,436232000000,4.5,KOSPI,13475700000000,stock,포스코인터내셔널,32817182400.0,-13537168600.0,-21040533100.0,무역회사와판매업체,20260306
0126Z0,544000,510000,510000,510000,84696,42494000000,-6.25,KOSPI,12690400000000,stock,삼성에피스홀딩스,0.0,0.0,0.0,,20260306
005830,188400,180000,180000,180000,335515,59860000000,-4.46,KOSPI,12489100000000,stock,DB손해보험,5658983400.0,17633110500.0,-22512407600.0,손해보험,20260306
018260,163900,158600,158600,158600,252096,39602000000,-3.23,KOSPI,12272100000000,stock,삼성에스디에스,0.0,0.0,0.0,IT서비스,20260306
071050,230000,218000,218000,218000,333305,70687000000,-5.22,KOSPI,12148300000000,stock,한국금융지주,-8129880500.0,-2325334500.0,9503942000.0,증권,20260306
323410,24100,23750,23750,23750,1014441,23434000000,-1.45,KOSPI,11329700000000,stock,카카오뱅크,0.0,0.0,0.0,은행,20260306
039490,435500,415000,415000,415000,152230,60772000000,-4.71,KOSPI,11251500000000,stock,키움증권,4786862500.0,10649591000.0,-16349939000.0,증권,20260306
278470,306000,296500,296500,296500,279116,81782000000,-3.1,KOSPI,11098900000000,stock,에이피알,-25946410500.0,65897230000.0,-38390813000.0,화장품,20260306
005940,32200,30550,30550,30550,914249,27348000000,-5.12,KOSPI,10886300000000,stock,NH투자증권,0.0,0.0,0.0,증권,20260306
307950,409000,383500,383500,383500,103050,38551000000,-6.23,KOSPI,10517100000000,stock,현대오토에버,0.0,0.0,0.0,IT서비스,20260306
259960,226000,218500,218500,218500,190493,40969000000,-3.32,KOSPI,10357900000000,stock,크래프톤,0.0,0.0,0.0,게임엔터테인먼트,20260306
000880,132600,123500,123500,123500,287608,35040000000,-6.86,KOSPI,9257400000000,stock,한화,0.0,0.0,0.0,복합기업,20260306
005387,275500,252000,252000,252000,250592,62746000000,-8.53,KOSPI,8810900000000,stock,현대차2우B,-36614599000.0,6025002000.0,32981557500.0,자동차,20260306
009830,51800,50500,50500,50500,4986537,250263000000,-2.51,KOSPI,8680600000000,stock,한화솔루션,-12768834450.0,2264684000.0,11752590050.0,에너지장비및서비스,20260306
003490,24500,22400,22400,22400,4301264,96288000000,-8.57,KOSPI,8248100000000,stock,대한항공,-65354723600.0,23974324100.0,38884016600.0,항공사,20260306
016360,95900,91600,91600,91600,555417,49821000000,-4.48,KOSPI,8179900000000,stock,삼성증권,7652151200.0,10841986700.0,-18023048500.0,증권,20260306
379800,22885,22495,22495,22495,9110540,203940000000,-1.7,KOSPI,8049800000000,etf,KODEX 미국S&P500,49202821250.0,-5350417360.0,-41681117215.0,기타,20260306
377300,61600,59000,59000,59000,411810,23807000000,-4.22,KOSPI,7973900000000,stock,카카오페이,0.0,0.0,0.0,IT서비스,20260306
459580,1073795,1073880,1073880,1073880,333553,358194000000,0.01,KOSPI,7947800000000,etf,KODEX CD금리액티브(합성),8681556915.0,361731595.0,-16211798345.0,기타,20260306
133690,164020,160670,160670,160670,958610,152915000000,-2.04,KOSPI,7842300000000,etf,TIGER 미국나스닥100,-20398905145.0,83502276055.0,-62324723655.0,기타,20260306
003230,1058000,1022000,1022000,1022000,46540,47069000000,-3.4,KOSPI,7698700000000,stock,삼양식품,5954035000.0,5700798000.0,-11963251000.0,식품,20260306
229200,20530,19810,19810,19810,61133678,1192295000000,-3.51,KOSPI,7694200000000,etf,KODEX 코스닥150,-199230642810.0,16139526845.0,166662991240.0,기타,20260306
326030,102900,98100,98100,98100,210458,20351000000,-4.66,KOSPI,7682500000000,stock,SK바이오팜,0.0,0.0,0.0,제약,20260306
000100,99300,96400,96400,96400,292902,27850000000,-2.92,KOSPI,7678000000000,stock,유한양행,0.0,0.0,0.0,제약,20260306
180640,123700,114000,114000,114000,125451,14248000000,-7.84,KOSPI,7610900000000,stock,한진칼,0.0,0.0,0.0,항공사,20260306
007660,114600,103600,103600,103600,1095004,111955000000,-9.6,KOSPI,7605200000000,stock,이수페타시스,53154801000.0,63616429800.0,-115184881600.0,전자장비와기기,20260306
443060,169000,169100,169100,169100,115949,19169000000,0.06,KOSPI,7581000000000,stock,HD현대마린솔루션,0.0,0.0,0.0,조선,20260306
090430,131600,128100,128100,128100,175790,22271000000,-2.66,KOSPI,7492900000000,stock,아모레퍼시픽,0.0,0.0,0.0,화장품,20260306
488770,103745,103755,103755,103755,822317,85317000000,0.01,KOSPI,7345600000000,etf,KODEX 머니마켓액티브,-838757810.0,162341855.0,-1168597645.0,기타,20260306
006260,249000,230500,230500,230500,162510,36790000000,-7.43,KOSPI,7306900000000,stock,LS,0.0,0.0,0.0,전기장비,20260306
396500,34220,31380,31380,31380,30083124,939984000000,-8.3,KOSPI,7258200000000,etf,TIGER 반도체TOP10,-350401387235.0,-17501964080.0,349657235115.0,기타,20260306
161390,59300,57000,57000,57000,648339,36357000000,-3.88,KOSPI,7060900000000,stock,한국타이어앤테크놀로지,0.0,0.0,0.0,자동차부품,20260306
102110,83450,78105,78105,78105,12383005,953947000000,-6.41,KOSPI,6744400000000,etf,TIGER 200,-55336742935.0,-17496882395.0,71237560725.0,기타,20260306
029780,59300,58200,58200,58200,98058,5590000000,-1.85,KOSPI,6743000000000,stock,삼성카드,0.0,0.0,0.0,카드,20260306
028050,33450,32900,32900,32900,1435798,46738000000,-1.64,KOSPI,6448400000000,stock,삼성E&A,-14866161800.0,46493299600.0,-31663018150.0,건설,20260306
032640,15090,14720,14720,14720,963015,14188000000,-2.45,KOSPI,6327100000000,stock,LG유플러스,0.0,0.0,0.0,무선통신서비스,20260306
128940,516000,481500,481500,481500,109156,51946000000,-6.69,KOSPI,6168500000000,stock,한미약품,-58655729000.0,69238176000.0,-8942454000.0,제약,20260306
078930,65600,65200,65200,65200,435734,28264000000,-0.61,KOSPI,6058100000000,stock,GS,0.0,0.0,0.0,석유와가스,20260306
064400,64900,61600,61600,61600,497877,30132000000,-5.08,KOSPI,5968200000000,stock,LG씨엔에스,0.0,0.0,0.0,IT서비스,20260306
011070,270000,250500,250500,250500,166051,41211000000,-7.22,KOSPI,5928600000000,stock,LG이노텍,0.0,0.0,0.0,전자장비와기기,20260306
005385,273500,253500,253500,253500,178509,44451000000,-7.31,KOSPI,5916900000000,stock,현대차우,0.0,0.0,0.0,자동차,20260306
267270,126300,123100,123100,123100,365366,43874000000,-2.53,KOSPI,5905600000000,stock,HD건설기계,0.0,0.0,0.0,기계,20260306
034220,11960,11330,11330,11330,5964075,66069000000,-5.27,KOSPI,5665000000000,stock,LG디스플레이,-32094928110.0,-76988006650.0,108018573100.0,디스플레이패널,20260306
052690,155400,147700,147700,147700,251463,36968000000,-4.95,KOSPI,5645100000000,stock,한전기술,0.0,0.0,0.0,전기유틸리티,20260306
454910,91100,85500,85500,85500,334961,28229000000,-6.15,KOSPI,5542100000000,stock,두산로보틱스,0.0,0.0,0.0,기계,20260306
138930,18420,17830,17830,17830,950490,16726000000,-3.2,KOSPI,5533100000000,stock,BNK금융지주,0.0,0.0,0.0,은행,20260306
379810,24575,24080,24080,24080,2961810,70757000000,-2.01,KOSPI,5527600000000,etf,KODEX 미국나스닥100,30555999035.0,2396764835.0,-31792867700.0,기타,20260306
241560,59400,56700,56700,56700,460817,25904000000,-4.55,KOSPI,5435000000000,stock,두산밥캣,0.0,0.0,0.0,기계,20260306
175330,29400,28750,28750,28750,339921,9580000000,-2.21,KOSPI,5412300000000,stock,JB금융지주,0.0,0.0,0.0,은행,20260306
088980,11380,11240,11240,11240,2159432,24196000000,-1.23,KOSPI,5383100000000,stock,맥쿼리인프라,0.0,0.0,0.0,운송인프라,20260306
001440,30250,28750,28750,28750,3428001,96793000000,-4.96,KOSPI,5360400000000,stock,대한전선,-4256503100.0,6870083100.0,-2878806100.0,전기장비,20260306
122630,84000,72850,72850,72850,28433470,2017272000000,-13.27,KOSPI,5303500000000,etf,KODEX 레버리지,-901071923960.0,89335204065.0,786093193805.0,기타,20260306
278530,30045,28065,28065,28065,3308606,91539000000,-6.59,KOSPI,5249600000000,etf,KODEX 200TR,-20767670265.0,418959200.0,19382304810.0,기타,20260306
411060,33830,33865,33865,33865,3097831,104465000000,0.1,KOSPI,5228800000000,etf,ACE KRX금현물,40381876380.0,4887749905.0,-43008571880.0,기타,20260306
021240,75200,72200,72200,72200,318961,22820000000,-3.99,KOSPI,5191800000000,stock,코웨이,0.0,0.0,0.0,가정용기기와용품,20260306
233740,18220,16965,16965,16965,112470085,1855925000000,-6.89,KOSPI,5025000000000,etf,KODEX 코스닥150레버리지,-449943267800.0,39023901025.0,402224911740.0,기타,20260306
001040,183700,171600,171600,171600,217303,37179000000,-6.59,KOSPI,5006800000000,stock,CJ,0.0,0.0,0.0,복합기업,20260306
271560,126500,126000,126000,126000,118571,14842000000,-0.4,KOSPI,4981600000000,stock,오리온,0.0,0.0,0.0,식품,20260306
004020,39750,36900,36900,36900,1354160,49224000000,-7.17,KOSPI,4924100000000,stock,현대제철,-10984688900.0,-53605494350.0,62642578000.0,철강,20260306
357870,57190,57190,57190,57190,479057,27395000000,0.0,KOSPI,4916300000000,etf,TIGER CD금리투자KIS(합성),0.0,0.0,0.0,기타,20260306
022100,33650,31700,31700,31700,470720,14692000000,-5.79,KOSPI,4819500000000,stock,포스코DX,0.0,0.0,0.0,IT서비스,20260306
450080,70800,65700,65700,65700,1362279,89486000000,-7.2,KOSPI,4635700000000,stock,에코프로머티,8756915800.0,-21882956500.0,8542079000.0,전기제품,20260306
036570,214500,213500,213500,213500,152152,31591000000,-0.47,KOSPI,4599600000000,stock,엔씨소프트,0.0,0.0,0.0,게임엔터테인먼트,20260306
066970,118600,113000,113000,113000,412446,46716000000,-4.72,KOSPI,4550900000000,stock,엘앤에프,0.0,0.0,0.0,전기제품,20260306
251270,54000,55200,55200,55200,617152,33563000000,2.22,KOSPI,4524200000000,stock,넷마블,0.0,0.0,0.0,게임엔터테인먼트,20260306
002380,538000,493500,493500,493500,29457,14430000000,-8.27,KOSPI,4385500000000,stock,KCC,0.0,0.0,0.0,건축자재,20260306
423160,110685,110690,110690,110690,293546,32492000000,0.0,KOSPI,4304700000000,etf,KODEX KOFR금리액티브(합성),0.0,0.0,0.0,기타,20260306
062040,146800,138400,138400,138400,155406,21188000000,-5.72,KOSPI,4227500000000,stock,산일전기,0.0,0.0,0.0,전기장비,20260306
439260,102600,106700,106700,106700,607913,63548000000,4.0,KOSPI,4110800000000,stock,대한조선,16973251600.0,4169309000.0,-21284848700.0,조선,20260306
111770,96300,91500,91500,91500,121220,11050000000,-4.98,KOSPI,4054500000000,stock,영원무역,0.0,0.0,0.0,"섬유,의류,신발,호화품",20260306
018880,4140,3925,3925,3925,8462540,32762000000,-5.19,KOSPI,4028100000000,stock,한온시스템,0.0,0.0,0.0,자동차부품,20260306
